Type,Mass,Luminosity,Radius,Temperature,ColorIndex,AbsMag,BoloCorr,BoloMag,ColorRGB
O0Ia0,160.0,3.41e+07,8.02e+01,50000,-0.35,-9.5,-4.58,-14.08,144166255
O0Ia,150.0,2.59e+06,2.21e+01,50000,-0.35,-6.7,-4.58,-11.28,144166255
O0Ib,140.0,2.15e+06,2.02e+01,50000,-0.35,-6.5,-4.58,-11.08,144166255
O0II,130.0,2.15e+06,2.02e+01,50000,-0.35,-6.5,-4.58,-11.08,144166255
O0III,120.0,2.15e+06,2.02e+01,50000,-0.35,-6.5,-4.58,-11.08,144166255
O0IV,110.0,1.36e+06,1.60e+01,50000,-0.35,-6.0,-4.58,-10.58,144166255
O0V,100.0,1.24e+06,1.53e+01,50000,-0.35,-5.9,-4.58,-10.48,144166255
O0VI,60.0,9.40e+05,1.33e+01,50000,-0.35,-5.6,-4.58,-10.18,144166255
O1Ia0,159.7,2.71e+07,7.88e+01,47600,-0.35,-9.4,-4.43,-13.83,146168255
O1Ia,149.3,2.25e+06,2.27e+01,47600,-0.35,-6.7,-4.43,-11.13,146168255
O1Ib,139.0,1.87e+06,2.07e+01,47600,-0.35,-6.5,-4.43,-10.93,146168255
O1II,128.6,1.73e+06,1.98e+01,47800,-0.35,-6.4,-4.44,-10.84,146168255
O1III,118.2,1.58e+06,1.89e+01,47800,-0.35,-6.3,-4.44,-10.74,146168255
O1IV,107.9,1.09e+06,1.57e+01,47800,-0.35,-5.9,-4.44,-10.34,145167255
O1V,97.5,9.94e+05,1.50e+01,47800,-0.35,-5.8,-4.44,-10.24,146168255
O1VI,37.0,7.54e+05,1.31e+01,47800,-0.35,-5.5,-4.44,-9.94,146168255
O2Ia0,159.4,2.14e+07,7.77e+01,45200,-0.35,-9.3,-4.28,-13.58,148170255
O2Ia,148.6,2.14e+06,2.46e+01,45200,-0.35,-6.8,-4.28,-11.08,148170255
O2Ib,137.9,1.62e+06,2.14e+01,45200,-0.35,-6.5,-4.28,-10.78,148170255
O2II,127.2,1.52e+06,2.03e+01,45600,-0.35,-6.4,-4.30,-10.70,148170255
O2III,116.5,1.26e+06,1.85e+01,45600,-0.35,-6.2,-4.30,-10.50,148169255
O2IV,105.7,8.72e+05,1.54e+01,45600,-0.35,-5.8,-4.30,-10.10,146169255
O2V,95.0,7.95e+05,1.47e+01,45600,-0.35,-5.7,-4.30,-10.00,148170255
O2VI,30.0,6.03e+05,1.28e+01,45600,-0.35,-5.4,-4.30,-9.70,148170255
O3Ia0,159.0,1.68e+07,7.69e+01,42800,-0.34,-9.2,-4.12,-13.32,151172255
O3Ia,148.0,1.85e+06,2.55e+01,42800,-0.34,-6.8,-4.12,-10.92,151172255
O3Ib,136.9,1.40e+06,2.22e+01,42800,-0.34,-6.5,-4.12,-10.62,151172255
O3II,125.8,1.21e+06,2.00e+01,43400,-0.34,-6.3,-4.16,-10.46,149173255
O3III,114.7,9.17e+05,1.75e+01,43400,-0.34,-6.0,-4.16,-10.16,150171255
O3IV,103.6,6.96e+05,1.52e+01,43400,-0.34,-5.7,-4.16,-9.86,148170255
O3V,92.5,6.34e+05,1.45e+01,43400,-0.34,-5.6,-4.16,-9.76,151172255
O3VI,23.0,4.81e+05,1.26e+01,43400,-0.34,-5.3,-4.16,-9.46,151172255
O4Ia0,158.7,1.32e+07,7.64e+01,40400,-0.33,-9.1,-3.95,-13.05,153174255
O4Ia,147.3,1.74e+06,2.77e+01,40400,-0.33,-6.9,-3.95,-10.85,153174255
O4Ib,135.8,1.20e+06,2.31e+01,40400,-0.33,-6.5,-3.95,-10.45,153174255
O4II,124.4,9.60e+05,1.98e+01,41200,-0.34,-6.2,-4.01,-10.21,151175255
O4III,112.9,7.28e+05,1.73e+01,41200,-0.34,-5.9,-4.01,-9.91,152172255
O4IV,101.5,5.52e+05,1.50e+01,41200,-0.34,-5.6,-4.01,-9.61,149171255
O4V,90.0,5.04e+05,1.44e+01,41200,-0.34,-5.5,-4.01,-9.51,153174255
O4VI,20.0,3.82e+05,1.25e+01,41200,-0.34,-5.2,-4.01,-9.21,153174255
O5Ia0,158.4,1.03e+07,7.62e+01,38000,-0.33,-9.0,-3.78,-12.78,155176255
O5Ia,142.0,1.48e+06,2.90e+01,38000,-0.33,-6.9,-3.78,-10.68,155176255
O5Ib,125.6,1.03e+06,2.41e+01,38000,-0.33,-6.5,-3.78,-10.28,155176255
O5II,109.2,7.59e+05,1.97e+01,39000,-0.33,-6.1,-3.85,-9.95,153177255
O5III,92.8,5.25e+05,1.64e+01,39000,-0.33,-5.7,-3.85,-9.55,154174255
O5IV,76.4,4.37e+05,1.49e+01,39000,-0.33,-5.5,-3.85,-9.35,150172255
O5V,60.0,3.98e+05,1.42e+01,39000,-0.33,-5.4,-3.85,-9.25,155176255
O5VI,17.5,3.02e+05,1.24e+01,39000,-0.33,-5.1,-3.85,-8.95,155176255
O6Ia0,136.7,7.81e+06,7.66e+01,35400,-0.32,-8.9,-3.58,-12.48,157178255
O6Ia,120.1,1.36e+06,3.19e+01,35400,-0.32,-7.0,-3.58,-10.58,157178255
O6Ib,103.5,7.81e+05,2.42e+01,35400,-0.32,-6.4,-3.58,-9.98,157178255
O6II,86.9,6.54e+05,2.05e+01,36800,-0.32,-6.1,-3.69,-9.79,155179255
O6III,70.2,3.76e+05,1.56e+01,36800,-0.32,-5.5,-3.69,-9.19,156175255
O6IV,53.6,3.13e+05,1.42e+01,36800,-0.32,-5.3,-3.69,-8.99,151174255
O6V,37.0,2.60e+05,1.29e+01,36800,-0.32,-5.1,-3.69,-8.79,162184255
O6VI,14.2,1.80e+05,1.08e+01,36800,-0.32,-4.7,-3.69,-8.39,162184255
O7Ia0,115.1,5.88e+06,7.74e+01,32800,-0.31,-8.8,-3.37,-12.17,160181255
O7Ia,100.9,1.12e+06,3.38e+01,32800,-0.31,-7.0,-3.37,-10.37,160181255
O7Ib,86.7,5.88e+05,2.45e+01,32800,-0.31,-6.3,-3.37,-9.67,160181255
O7II,72.5,5.10e+05,2.05e+01,34600,-0.32,-6.0,-3.52,-9.52,156181255
O7III,58.4,2.94e+05,1.55e+01,34600,-0.32,-5.4,-3.52,-8.92,158177255
O7IV,44.2,2.23e+05,1.35e+01,34600,-0.32,-5.1,-3.52,-8.62,152175255
O7V,30.0,1.54e+05,1.13e+01,34600,-0.32,-4.7,-3.52,-8.22,157177255
O7VI,10.9,1.07e+05,9.36e+00,34600,-0.32,-4.3,-3.52,-7.82,157177255
O8Ia0,93.4,4.37e+06,7.87e+01,30200,-0.30,-8.7,-3.15,-11.85,162183255
O8Ia,81.7,9.13e+05,3.60e+01,30200,-0.30,-7.0,-3.15,-10.15,162183255
O8Ib,69.9,4.37e+05,2.49e+01,30200,-0.30,-6.2,-3.15,-9.35,162183255
O8II,58.2,3.60e+05,1.96e+01,32400,-0.31,-5.8,-3.34,-9.14,158183255
O8III,46.5,2.07e+05,1.49e+01,32400,-0.31,-5.2,-3.34,-8.54,157178255
O8IV,34.7,1.57e+05,1.30e+01,32400,-0.31,-4.9,-3.34,-8.24,153176255
O8V,23.0,9.91e+04,1.03e+01,32400,-0.31,-4.4,-3.34,-7.74,157177255
O8VI,7.6,5.70e+04,7.81e+00,32400,-0.31,-3.8,-3.34,-7.14,157177255
O9Ia0,71.8,3.19e+06,8.05e+01,27600,-0.29,-8.6,-2.91,-11.51,164185255
O9Ia,63.1,7.31e+05,3.85e+01,27600,-0.29,-7.0,-2.91,-9.91,164185255
O9Ib,54.5,3.19e+05,2.55e+01,27600,-0.29,-6.1,-2.91,-9.01,164185255
O9II,45.9,2.76e+05,1.98e+01,30200,-0.30,-5.7,-3.15,-8.85,160186255
O9III,37.3,1.59e+05,1.50e+01,30200,-0.30,-5.1,-3.15,-8.25,158177255
O9IV,28.6,1.10e+05,1.25e+01,30200,-0.30,-4.7,-3.15,-7.85,155177255
O9V,20.0,5.76e+04,9.04e+00,30200,-0.30,-4.0,-3.15,-7.15,154178255
O9VI,6.7,3.31e+04,6.85e+00,30200,-0.30,-3.4,-3.15,-6.55,154178255
B0Ia0,50.1,2.28e+06,8.30e+01,25000,-0.27,-8.5,-2.65,-11.15,161189255
B0Ia,44.7,5.73e+05,4.16e+01,25000,-0.27,-7.0,-2.65,-9.65,161189255
B0Ib,39.2,2.28e+05,2.62e+01,25000,-0.27,-6.0,-2.65,-8.65,161189255
B0II,33.8,1.90e+05,1.91e+01,28000,-0.29,-5.5,-2.95,-8.45,162188255
B0III,28.4,1.09e+05,1.45e+01,28000,-0.29,-4.9,-2.95,-7.85,158177255
B0IV,22.9,7.57e+04,1.21e+01,28000,-0.29,-4.5,-2.95,-7.45,156179255
B0V,17.5,3.62e+04,8.34e+00,28000,-0.29,-3.7,-2.95,-6.65,156178255
B0VI,5.9,1.90e+04,6.04e+00,28000,-0.29,-3.0,-2.95,-5.95,156178255
B1Ia0,45.1,2.02e+06,8.62e+01,23790,-0.26,-8.5,-2.51,-11.01,168193255
B1Ia,40.0,5.07e+05,4.32e+01,23790,-0.26,-7.0,-2.51,-9.51,168193255
B1Ib,34.8,1.84e+05,2.60e+01,23790,-0.26,-5.9,-2.51,-8.41,168193255
B1II,29.7,1.34e+05,1.83e+01,26190,-0.28,-5.3,-2.77,-8.07,163190255
B1III,24.5,5.34e+04,1.16e+01,26190,-0.28,-4.3,-2.77,-7.07,158177255
B1IV,19.4,3.70e+04,9.63e+00,26190,-0.28,-3.9,-2.77,-6.67,157180255
B1V,14.2,1.94e+04,6.97e+00,26190,-0.28,-3.2,-2.77,-5.97,160182255
B1VI,5.2,1.02e+04,5.05e+00,26190,-0.28,-2.5,-2.77,-5.27,160182255
B2Ia0,40.1,1.62e+06,8.57e+01,22580,-0.25,-8.4,-2.37,-10.77,177196255
B2Ia,35.2,4.46e+05,4.50e+01,22580,-0.25,-7.0,-2.37,-9.37,177196255
B2Ib,30.4,1.62e+05,2.71e+01,22580,-0.25,-5.9,-2.37,-8.27,177196255
B2II,25.5,9.36e+04,1.77e+01,24380,-0.27,-5.1,-2.58,-7.68,165192255
B2III,20.6,2.83e+04,9.71e+00,24380,-0.27,-3.8,-2.58,-6.38,159180255
B2IV,15.8,1.96e+04,8.08e+00,24380,-0.27,-3.4,-2.58,-5.98,159179255
B2V,10.9,9.36e+03,5.59e+00,24380,-0.27,-2.6,-2.58,-5.18,160180255
B2VI,4.5,5.39e+03,4.24e+00,24380,-0.27,-2.0,-2.58,-4.58,160180255
B3Ia0,35.1,1.42e+06,8.95e+01,21370,-0.24,-8.4,-2.23,-10.63,175194255
B3Ia,30.5,4.28e+05,4.92e+01,21370,-0.24,-7.1,-2.23,-9.33,175194255
B3Ib,25.9,1.29e+05,2.70e+01,21370,-0.24,-5.8,-2.23,-8.03,175194255
B3II,21.4,6.45e+04,1.71e+01,22570,-0.25,-4.9,-2.37,-7.27,168193255
B3III,16.8,1.35e+04,7.82e+00,22570,-0.25,-3.2,-2.37,-5.57,163187255
B3IV,12.2,9.32e+03,6.51e+00,22570,-0.25,-2.8,-2.37,-5.17,166188255
B3V,7.6,4.89e+03,4.71e+00,22570,-0.25,-2.1,-2.37,-4.47,165185255
B3VI,3.8,2.57e+03,3.41e+00,22570,-0.25,-1.4,-2.37,-3.77,165185255
B4Ia0,30.1,1.23e+06,9.37e+01,20160,-0.23,-8.4,-2.07,-10.47,187203255
B4Ia,26.2,3.38e+05,4.92e+01,20160,-0.23,-7.0,-2.07,-9.07,187203255
B4Ib,22.3,1.12e+05,2.83e+01,20160,-0.23,-5.8,-2.07,-7.87,187203255
B4II,18.4,4.37e+04,1.67e+01,20760,-0.24,-4.7,-2.15,-6.85,172194255
B4III,14.5,6.93e+03,6.63e+00,20760,-0.24,-2.7,-2.15,-4.85,166188255
B4IV,10.6,4.79e+03,5.52e+00,20760,-0.24,-2.3,-2.15,-4.45,169190255
B4V,6.7,2.29e+03,3.82e+00,20760,-0.24,-1.5,-2.15,-3.65,164184255
B4VI,3.4,1.32e+03,2.89e+00,20760,-0.24,-0.9,-2.15,-3.05,164184255
B5Ia0,25.1,9.65e+05,9.39e+01,18950,-0.22,-8.3,-1.91,-10.21,179202255
B5Ia,21.9,2.91e+05,5.16e+01,18950,-0.22,-7.0,-1.91,-8.91,179202255
B5Ib,18.7,8.80e+04,2.84e+01,18950,-0.22,-5.7,-1.91,-7.61,179202255
B5II,15.5,2.91e+04,1.63e+01,18950,-0.22,-4.5,-1.91,-6.41,175195255
B5III,12.3,3.19e+03,5.40e+00,18950,-0.22,-2.1,-1.91,-4.01,168189255
B5IV,9.1,2.21e+03,4.50e+00,18950,-0.22,-1.7,-1.91,-3.61,172192255
B5V,5.9,1.16e+03,3.26e+00,18950,-0.22,-1.0,-1.91,-2.91,170191255
B5VI,2.9,6.67e+02,2.47e+00,18950,-0.22,-0.4,-1.91,-2.31,170191255
B6Ia0,23.2,7.58e+05,1.02e+02,17140,-0.20,-8.3,-1.65,-9.95,191207255
B6Ia,20.2,2.29e+05,5.59e+01,17140,-0.20,-7.0,-1.65,-8.65,191207255
B6Ib,17.2,6.31e+04,2.94e+01,17140,-0.20,-5.6,-1.65,-7.25,191207255
B6II,14.2,1.74e+04,1.54e+01,17140,-0.20,-4.2,-1.65,-5.85,177196255
B6III,11.2,1.74e+03,4.87e+00,17140,-0.20,-1.7,-1.65,-3.35,170190255
B6IV,8.2,1.20e+03,4.05e+00,17140,-0.20,-1.3,-1.65,-2.95,175194255
B6V,5.2,6.92e+02,3.07e+00,17140,-0.20,-0.7,-1.65,-2.35,172189255
B6VI,2.7,3.63e+02,2.23e+00,17140,-0.20,0.0,-1.65,-1.65,172189255
B7Ia0,21.4,5.33e+05,1.07e+02,15330,-0.18,-8.2,-1.37,-9.57,195209255
B7Ia,18.6,1.93e+05,6.43e+01,15330,-0.18,-7.1,-1.37,-8.47,195209255
B7Ib,15.8,4.43e+04,3.08e+01,15330,-0.18,-5.5,-1.37,-6.87,195209255
B7II,12.9,1.11e+04,1.54e+01,15330,-0.18,-4.0,-1.37,-5.37,179198255
B7III,10.1,1.01e+03,4.66e+00,15330,-0.18,-1.4,-1.37,-2.77,171191255
B7IV,7.3,6.40e+02,3.70e+00,15330,-0.18,-0.9,-1.37,-2.27,170189255
B7V,4.5,4.04e+02,2.94e+00,15330,-0.18,-0.4,-1.37,-1.77,173191255
B7VI,2.5,1.93e+02,2.03e+00,15330,-0.18,0.4,-1.37,-0.97,173191255
B8Ia0,19.5,3.67e+05,1.14e+02,13520,-0.15,-8.1,-1.06,-9.16,182206255
B8Ia,16.9,1.60e+05,7.52e+01,13520,-0.15,-7.2,-1.06,-8.26,182206255
B8Ib,14.3,3.34e+04,3.44e+01,13520,-0.15,-5.5,-1.06,-6.56,182206255
B8II,11.7,6.99e+03,1.57e+01,13520,-0.15,-3.8,-1.06,-4.86,181199255
B8III,9.0,5.30e+02,4.33e+00,13520,-0.15,-1.0,-1.06,-2.06,175193255
B8IV,6.4,3.34e+02,3.44e+00,13520,-0.15,-0.5,-1.06,-1.56,175193255
B8V,3.8,2.11e+02,2.73e+00,13520,-0.15,0.0,-1.06,-1.06,177195255
B8VI,2.4,1.01e+02,1.89e+00,13520,-0.15,0.8,-1.06,-0.26,177195255
B9Ia0,17.7,2.73e+05,1.31e+02,11710,-0.11,-8.1,-0.74,-8.84,204216255
B9Ia,15.3,1.31e+05,9.05e+01,11710,-0.11,-7.3,-0.74,-8.04,204216255
B9Ib,12.9,2.27e+04,3.77e+01,11710,-0.11,-5.4,-0.74,-6.14,204216255
B9II,10.5,4.32e+03,1.65e+01,11710,-0.11,-3.6,-0.74,-4.34,182201255
B9III,8.1,2.99e+02,4.33e+00,11710,-0.11,-0.7,-0.74,-1.44,178195255
B9IV,5.7,1.72e+02,3.29e+00,11710,-0.11,-0.1,-0.74,-0.84,180197255
B9V,3.4,1.19e+02,2.73e+00,11710,-0.11,0.3,-0.74,-0.44,181198255
B9VI,2.1,5.20e+01,1.81e+00,11710,-0.11,1.2,-0.74,0.46,181198255
A0Ia0,15.8,1.86e+05,1.51e+02,9900,-0.06,-8.0,-0.42,-8.42,187206255
A0Ia,13.7,1.07e+05,1.14e+02,9900,-0.06,-7.4,-0.42,-7.82,187206255
A0Ib,11.5,1.54e+04,4.35e+01,9900,-0.06,-5.3,-0.42,-5.72,187206255
A0II,9.4,2.68e+03,1.81e+01,9900,-0.06,-3.4,-0.42,-3.82,184202255
A0III,7.2,1.54e+02,4.35e+00,9900,-0.06,-0.3,-0.42,-0.72,188205255
A0IV,5.1,8.88e+01,3.30e+00,9900,-0.06,0.3,-0.42,-0.12,179197255
A0V,2.9,6.74e+01,2.88e+00,9900,-0.06,0.6,-0.42,0.18,185201255
A0VI,1.9,2.68e+01,1.81e+00,9900,-0.06,1.6,-0.42,1.18,185201255
A1Ia0,15.2,1.98e+05,1.62e+02,9707,-0.06,-8.1,-0.39,-8.49,214223255
A1Ia,13.1,1.14e+05,1.23e+02,9707,-0.06,-7.5,-0.39,-7.89,214223255
A1Ib,11.0,1.50e+04,4.46e+01,9707,-0.06,-5.3,-0.39,-5.69,214223255
A1II,8.9,2.35e+03,1.79e+01,9650,-0.06,-3.3,-0.38,-3.68,186204255
A1III,6.9,1.24e+02,4.10e+00,9650,-0.06,-0.1,-0.38,-0.48,188204255
A1IV,4.8,7.11e+01,3.11e+00,9650,-0.06,0.5,-0.38,0.12,183200255
A1V,2.7,4.92e+01,2.59e+00,9650,-0.06,0.9,-0.38,0.52,181199255
A1VI,1.8,1.96e+01,1.63e+00,9650,-0.06,1.9,-0.38,1.52,181199255
A2Ia0,14.5,2.10e+05,1.74e+02,9513,-0.05,-8.2,-0.36,-8.56,199214255
A2Ia,12.5,1.21e+05,1.32e+02,9513,-0.05,-7.6,-0.36,-7.96,199214255
A2Ib,10.5,1.33e+04,4.37e+01,9513,-0.05,-5.2,-0.36,-5.56,199214255
A2II,8.5,2.07e+03,1.77e+01,9400,-0.05,-3.2,-0.34,-3.54,188205255
A2III,6.5,9.90e+01,3.87e+00,9400,-0.05,0.1,-0.34,-0.24,189204255
A2IV,4.5,5.70e+01,2.93e+00,9400,-0.05,0.7,-0.34,0.36,186202255
A2V,2.5,3.94e+01,2.44e+00,9400,-0.05,1.1,-0.34,0.76,187203255
A2VI,1.8,1.57e+01,1.54e+00,9400,-0.05,2.1,-0.34,1.76,187203255
A3Ia0,13.9,2.24e+05,1.87e+02,9320,-0.05,-8.3,-0.33,-8.63,207219255
A3Ia,12.0,1.29e+05,1.42e+02,9320,-0.05,-7.7,-0.33,-8.03,207219255
A3Ib,10.0,1.29e+04,4.49e+01,9320,-0.05,-5.2,-0.33,-5.53,207219255
A3II,8.1,1.66e+03,1.67e+01,9150,-0.04,-3.0,-0.30,-3.30,190207255
A3III,6.2,8.71e+01,3.83e+00,9150,-0.04,0.2,-0.30,-0.10,189203255
A3IV,4.3,4.17e+01,2.65e+00,9150,-0.04,1.0,-0.30,0.70,190205255
A3V,2.4,2.89e+01,2.20e+00,9150,-0.04,1.4,-0.30,1.10,191207255
A3VI,1.8,1.15e+01,1.39e+00,9150,-0.04,2.4,-0.30,2.10,191207255
A4Ia0,13.2,2.39e+05,2.02e+02,9127,-0.04,-8.4,-0.30,-8.70,215224255
A4Ia,11.4,1.38e+05,1.53e+02,9127,-0.04,-7.8,-0.30,-8.10,215224255
A4Ib,9.5,1.14e+04,4.41e+01,9127,-0.04,-5.1,-0.30,-5.40,215224255
A4II,7.7,1.46e+03,1.66e+01,8900,0.00,-2.9,-0.26,-3.16,192208255
A4III,5.8,7.00e+01,3.63e+00,8900,0.00,0.4,-0.26,0.14,196209255
A4IV,4.0,3.35e+01,2.51e+00,8900,0.00,1.2,-0.26,0.94,195210255
A4V,2.1,2.32e+01,2.09e+00,8900,0.00,1.6,-0.26,1.34,197211255
A4VI,1.7,9.23e+00,1.32e+00,8900,0.00,2.6,-0.26,2.34,197211255
A5Ia0,12.6,2.55e+05,2.17e+02,8933,-0.00,-8.5,-0.27,-8.77,223229255
A5Ia,10.8,1.61e+05,1.73e+02,8933,-0.00,-8.0,-0.27,-8.27,223229255
A5Ib,9.0,1.11e+04,4.54e+01,8933,-0.00,-5.1,-0.27,-5.37,223229255
A5II,7.2,1.29e+03,1.65e+01,8650,0.05,-2.8,-0.23,-3.03,194210255
A5III,5.4,5.64e+01,3.45e+00,8650,0.05,0.6,-0.23,0.37,202215255
A5IV,3.7,2.70e+01,2.38e+00,8650,0.05,1.4,-0.23,1.17,212220255
A5V,1.9,1.70e+01,1.89e+00,8650,0.05,1.9,-0.23,1.67,202215255
A5VI,1.6,6.78e+00,1.20e+00,8650,0.05,2.9,-0.23,2.67,202215255
A6Ia0,12.6,2.49e+05,2.24e+02,8740,0.03,-8.5,-0.24,-8.74,219226255
A6Ia,10.8,1.89e+05,1.95e+02,8740,0.03,-8.2,-0.24,-8.44,219226255
A6Ib,9.0,1.09e+04,4.69e+01,8740,0.03,-5.1,-0.24,-5.34,219226255
A6II,7.2,1.14e+03,1.65e+01,8400,0.09,-2.7,-0.20,-2.90,196211255
A6III,5.4,4.55e+01,3.28e+00,8400,0.09,0.8,-0.20,0.60,209219255
A6IV,3.6,2.18e+01,2.27e+00,8400,0.09,1.6,-0.20,1.40,202214255
