Type,Mass,Luminosity,Radius,Temperature,ColorIndex,AbsMag,BoloCorr,BoloMag,ColorRGB
A6V,1.8,1.51e+01,1.89e+00,8400,0.09,2.0,-0.20,1.80,199212255
A6VI,1.6,5.47e+00,1.14e+00,8400,0.09,3.1,-0.20,2.90,199212255
A7Ia0,12.6,2.67e+05,2.43e+02,8547,0.07,-8.6,-0.21,-8.81,215223255
A7Ia,10.8,2.22e+05,2.21e+02,8547,0.07,-8.4,-0.21,-8.61,215223255
A7Ib,9.0,1.06e+04,4.84e+01,8547,0.07,-5.1,-0.21,-5.31,215223255
A7II,7.2,1.11e+03,1.72e+01,8150,0.14,-2.7,-0.17,-2.87,197213255
A7III,5.4,3.68e+01,3.14e+00,8150,0.14,1.0,-0.17,0.83,210219255
A7IV,3.6,1.93e+01,2.27e+00,8150,0.14,1.7,-0.17,1.53,192207255
A7V,1.8,1.22e+01,1.81e+00,8150,0.14,2.2,-0.17,2.03,200213255
A7VI,1.5,4.43e+00,1.09e+00,8150,0.14,3.3,-0.17,3.13,200213255
A8Ia0,12.6,2.60e+05,2.51e+02,8353,0.10,-8.6,-0.19,-8.79,210221255
A8Ia,10.8,2.38e+05,2.40e+02,8353,0.10,-8.5,-0.19,-8.69,210221255
A8Ib,9.0,1.04e+04,5.01e+01,8353,0.10,-5.1,-0.19,-5.29,210221255
A8II,7.2,9.90e+02,1.73e+01,7900,0.19,-2.6,-0.14,-2.74,199214255
A8III,5.4,3.28e+01,3.15e+00,7900,0.19,1.1,-0.14,0.96,209219255
A8IV,3.6,1.57e+01,2.18e+00,7900,0.19,1.9,-0.14,1.76,208217255
A8V,1.8,1.09e+01,1.81e+00,7900,0.19,2.3,-0.14,2.16,213222255
A8VI,1.5,3.59e+00,1.04e+00,7900,0.19,3.5,-0.14,3.36,213222255
A9Ia0,12.6,2.80e+05,2.73e+02,8160,0.14,-8.7,-0.17,-8.87,206218255
A9Ia,10.8,2.33e+05,2.49e+02,8160,0.14,-8.5,-0.17,-8.67,206218255
A9Ib,9.0,1.02e+04,5.20e+01,8160,0.14,-5.1,-0.17,-5.27,206218255
A9II,7.1,9.70e+02,1.83e+01,7650,0.24,-2.6,-0.12,-2.72,201216255
A9III,5.3,2.67e+01,3.03e+00,7650,0.24,1.3,-0.12,1.18,209219255
A9IV,3.5,1.40e+01,2.20e+00,7650,0.24,2.0,-0.12,1.88,224227255
A9V,1.7,8.85e+00,1.75e+00,7650,0.24,2.5,-0.12,2.38,219224255
A9VI,1.4,2.93e+00,1.00e+00,7650,0.24,3.7,-0.12,3.58,219224255
F0Ia0,12.6,2.74e+05,2.83e+02,7967,0.18,-8.7,-0.15,-8.85,202215255
F0Ia,10.8,2.28e+05,2.58e+02,7967,0.18,-8.5,-0.15,-8.65,202215255
F0Ib,8.9,9.96e+03,5.40e+01,7967,0.18,-5.1,-0.15,-5.25,202215255
F0II,7.1,8.70e+02,1.85e+01,7400,0.30,-2.5,-0.10,-2.60,203217255
F0III,5.3,2.19e+01,2.93e+00,7400,0.30,1.5,-0.10,1.40,213222255
F0IV,3.4,1.15e+01,2.12e+00,7400,0.30,2.2,-0.10,2.10,218224255
F0V,1.6,7.94e+00,1.77e+00,7400,0.30,2.6,-0.10,2.50,224229255
F0VI,1.4,2.40e+00,9.71e-01,7400,0.30,3.9,-0.10,3.80,224229255
F1Ia0,12.1,2.96e+05,3.09e+02,7773,0.22,-8.8,-0.13,-8.93,223229255
F1Ia,10.3,2.24e+05,2.69e+02,7773,0.22,-8.5,-0.13,-8.63,223229255
F1Ib,8.6,9.79e+03,5.62e+01,7773,0.22,-5.1,-0.13,-5.23,223229255
F1II,6.8,8.65e+02,1.92e+01,7260,0.33,-2.5,-0.09,-2.59,216225255
F1III,5.1,2.17e+01,3.04e+00,7260,0.33,1.5,-0.09,1.41,227232255
F1IV,3.3,1.25e+01,2.30e+00,7260,0.33,2.1,-0.09,2.01,223227255
F1V,1.6,6.56e+00,1.67e+00,7260,0.33,2.8,-0.09,2.71,230234255
F1VI,1.3,1.98e+00,9.17e-01,7260,0.33,4.1,-0.09,4.01,230234255
F2Ia0,11.6,2.91e+05,3.23e+02,7580,0.26,-8.8,-0.11,-8.91,244243255
F2Ia,9.9,2.02e+05,2.68e+02,7580,0.26,-8.4,-0.11,-8.51,244243255
F2Ib,8.2,8.80e+03,5.61e+01,7580,0.26,-5.0,-0.11,-5.11,244243255
F2II,6.5,8.60e+02,1.99e+01,7120,0.36,-2.5,-0.09,-2.59,229233255
F2III,4.9,1.97e+01,3.01e+00,7120,0.36,1.6,-0.09,1.51,241241255
F2IV,3.2,1.49e+01,2.62e+00,7120,0.36,1.9,-0.09,1.81,227230255
F2V,1.5,5.95e+00,1.65e+00,7120,0.36,2.9,-0.09,2.81,236239255
F2VI,1.3,1.64e+00,8.67e-01,7120,0.36,4.3,-0.09,4.21,236239255
F3Ia0,11.0,3.16e+05,3.54e+02,7387,0.30,-8.9,-0.10,-9.00,236237255
F3Ia,9.4,1.99e+05,2.81e+02,7387,0.30,-8.4,-0.10,-8.50,236237255
F3Ib,7.9,8.70e+03,5.87e+01,7387,0.30,-5.0,-0.10,-5.10,236237255
F3II,6.3,7.82e+02,1.97e+01,6980,0.39,-2.4,-0.08,-2.48,235237255
F3III,4.7,1.96e+01,3.12e+00,6980,0.39,1.6,-0.08,1.52,241241255
F3IV,3.1,1.63e+01,2.85e+00,6980,0.39,1.8,-0.08,1.72,227230255
F3V,1.5,4.94e+00,1.57e+00,6980,0.39,3.1,-0.08,3.02,230233255
F3VI,1.2,1.49e+00,8.60e-01,6980,0.39,4.4,-0.08,4.32,230233255
F4Ia0,10.5,3.43e+05,3.89e+02,7193,0.34,-9.0,-0.09,-9.09,227231255
F4Ia,9.0,1.80e+05,2.82e+02,7193,0.34,-8.3,-0.09,-8.39,227231255
F4Ib,7.5,7.86e+03,5.89e+01,7193,0.34,-4.9,-0.09,-4.99,227231255
F4II,6.0,7.81e+02,2.05e+01,6840,0.42,-2.4,-0.08,-2.48,241241255
F4III,4.5,1.96e+01,3.25e+00,6840,0.42,1.6,-0.08,1.52,241240255
F4IV,3.0,1.96e+01,3.25e+00,6840,0.42,1.6,-0.08,1.52,234235255
F4V,1.4,4.50e+00,1.56e+00,6840,0.42,3.2,-0.08,3.12,224226255
F4VI,1.1,1.24e+00,8.17e-01,6840,0.42,4.6,-0.08,4.52,224226255
F5Ia0,10.0,3.74e+05,4.29e+02,7000,0.39,-9.1,-0.08,-9.18,219225255
F5Ia,8.6,1.63e+05,2.83e+02,7000,0.39,-8.2,-0.08,-8.28,219225255
F5Ib,7.1,7.82e+03,6.20e+01,7000,0.39,-4.9,-0.08,-4.98,219225255
F5II,5.7,7.83e+02,2.14e+01,6700,0.46,-2.4,-0.08,-2.48,247242255
F5III,4.3,2.16e+01,3.55e+00,6700,0.46,1.5,-0.08,1.42,242240255
F5IV,2.8,2.16e+01,3.55e+00,6700,0.46,1.5,-0.08,1.42,241239255
F5V,1.4,3.75e+00,1.48e+00,6700,0.46,3.4,-0.08,3.32,248247255
F5VI,1.1,1.03e+00,7.77e-01,6700,0.46,4.8,-0.08,4.72,248247255
F6Ia0,10.0,3.74e+05,4.60e+02,6760,0.44,-9.1,-0.08,-9.18,255234252
F6Ia,8.6,1.49e+05,2.90e+02,6760,0.44,-8.1,-0.08,-8.18,255234252
F6Ib,7.1,7.82e+03,6.64e+01,6760,0.44,-4.9,-0.08,-4.98,255234252
F6II,5.7,7.86e+02,2.24e+01,6560,0.49,-2.4,-0.09,-2.49,253249255
F6III,4.2,2.37e+01,3.89e+00,6560,0.49,1.4,-0.09,1.31,241240255
F6IV,2.8,1.64e+01,3.23e+00,6560,0.49,1.8,-0.09,1.71,241239255
F6V,1.3,3.13e+00,1.41e+00,6560,0.49,3.6,-0.09,3.51,244241255
F6VI,1.0,8.62e-01,7.41e-01,6560,0.49,5.0,-0.09,4.91,244241255
F7Ia0,10.0,4.13e+05,5.19e+02,6520,0.50,-9.2,-0.09,-9.29,255243250
F7Ia,8.5,1.37e+05,2.99e+02,6520,0.50,-8.0,-0.09,-8.09,255243250
F7Ib,7.1,7.18e+03,6.84e+01,6520,0.50,-4.8,-0.09,-4.89,255243250
F7II,5.6,7.91e+02,2.34e+01,6420,0.52,-2.4,-0.10,-2.50,255250251
F7III,4.2,2.62e+01,4.26e+00,6420,0.52,1.3,-0.10,1.20,241240255
F7IV,2.7,1.25e+01,2.95e+00,6420,0.52,2.1,-0.10,2.00,240239255
F7V,1.3,2.62e+00,1.35e+00,6420,0.52,3.8,-0.10,3.70,246243255
F7VI,1.0,7.91e-01,7.41e-01,6420,0.52,5.1,-0.10,5.00,246243255
F8Ia0,10.0,4.19e+05,5.64e+02,6280,0.56,-9.2,-0.11,-9.31,255252247
F8Ia,8.5,1.27e+05,3.10e+02,6280,0.56,-7.9,-0.11,-8.01,255252247
F8Ib,7.1,7.29e+03,7.43e+01,6280,0.56,-4.8,-0.11,-4.91,255252247
F8II,5.6,7.29e+02,2.35e+01,6280,0.56,-2.3,-0.11,-2.41,255248245
F8III,4.1,2.90e+01,4.69e+00,6280,0.56,1.2,-0.11,1.09,252248255
F8IV,2.7,1.05e+01,2.83e+00,6280,0.56,2.3,-0.11,2.19,255252253
F8V,1.2,2.41e+00,1.35e+00,6280,0.56,3.9,-0.11,3.79,255247252
F8VI,1.0,6.65e-01,7.10e-01,6280,0.56,5.3,-0.11,5.19,255247252
F9Ia0,10.0,4.73e+05,6.54e+02,6011,0.63,-9.3,-0.14,-9.44,255246233
F9Ia,8.5,1.30e+05,3.43e+02,6011,0.63,-7.9,-0.14,-8.04,255246233
F9Ib,7.0,6.84e+03,7.86e+01,6011,0.63,-4.7,-0.14,-4.84,255246233
F9II,5.6,7.39e+02,2.48e+01,6140,0.60,-2.3,-0.12,-2.42,255246239
F9III,4.1,3.22e+01,5.17e+00,6140,0.60,1.1,-0.12,0.98,255246245
F9IV,2.6,8.10e+00,2.59e+00,6140,0.60,2.6,-0.12,2.48,255250249
F9V,1.1,2.03e+00,1.30e+00,6140,0.60,4.1,-0.12,3.98,255247252
F9VI,0.9,6.14e-01,7.14e-01,6140,0.60,5.4,-0.12,5.28,255247252
G0Ia0,10.0,4.95e+05,7.32e+02,5743,0.70,-9.3,-0.19,-9.49,255239219
G0Ia,6.3,1.24e+05,3.67e+02,5743,0.70,-7.8,-0.19,-7.99,255239219
G0Ib,2.5,7.15e+03,8.81e+01,5743,0.70,-4.7,-0.19,-4.89,255239219
G0II,2.1,7.84e+02,2.92e+01,5743,0.70,-2.3,-0.19,-2.49,255244233
G0III,1.8,3.75e+01,6.38e+00,5743,0.70,1.0,-0.19,0.81,255242233
G0IV,1.4,6.25e+00,2.38e+00,6000,0.63,2.9,-0.14,2.76,255248245
G0V,1.1,1.72e+00,1.25e+00,6000,0.63,4.3,-0.14,4.16,255248252
G0VI,0.9,5.20e-01,6.88e-01,6000,0.63,5.6,-0.14,5.46,255248252
G1Ia0,10.5,5.27e+05,8.32e+02,5474,0.78,-9.3,-0.25,-9.55,255238212
G1Ia,6.6,1.32e+05,4.17e+02,5474,0.78,-7.8,-0.25,-8.05,255238212
G1Ib,2.6,7.62e+03,1.00e+02,5474,0.78,-4.7,-0.25,-4.95,255238212
G1II,2.2,8.35e+02,3.31e+01,5474,0.78,-2.3,-0.25,-2.55,255243227
G1III,1.8,4.38e+01,7.59e+00,5474,0.78,0.9,-0.25,0.65,255243233
G1IV,1.4,6.35e+00,2.50e+00,5890,0.66,2.9,-0.16,2.74,255246244
G1V,1.0,1.46e+00,1.19e+00,5890,0.66,4.5,-0.16,4.34,255247248
G1VI,0.9,4.40e-01,6.56e-01,5890,0.66,5.8,-0.16,5.64,255247248
G2Ia0,11.0,5.73e+05,9.59e+02,5206,0.86,-9.3,-0.35,-9.65,255236205
G2Ia,6.9,1.31e+05,4.59e+02,5206,0.86,-7.7,-0.35,-8.05,255236205
G2Ib,2.8,8.29e+03,1.15e+02,5206,0.86,-4.7,-0.35,-5.05,255236205
G2II,2.3,9.09e+02,3.82e+01,5206,0.86,-2.3,-0.35,-2.65,255241221
G2III,1.9,5.23e+01,9.16e+00,5206,0.86,0.8,-0.35,0.45,255243233
G2IV,1.4,6.48e+00,2.62e+00,5780,0.69,2.9,-0.18,2.72,255244242
G2V,1.0,1.23e+00,1.14e+00,5780,0.69,4.7,-0.18,4.52,255245242
G2VI,0.9,3.73e-01,6.28e-01,5780,0.69,6.0,-0.18,5.82,255245242
G3Ia0,11.5,7.03e+05,1.18e+03,4937,0.94,-9.4,-0.47,-9.87,255231203
G3Ia,7.2,1.47e+05,5.40e+02,4937,0.94,-7.7,-0.47,-8.17,255231203
G3Ib,2.9,8.46e+03,1.30e+02,4937,0.94,-4.6,-0.47,-5.07,255231203
G3II,2.4,1.11e+03,4.70e+01,4937,0.94,-2.4,-0.47,-2.87,255239215
G3III,1.9,7.03e+01,1.18e+01,4937,0.94,0.6,-0.47,0.13,255243233
G3IV,1.5,6.04e+00,2.63e+00,5670,0.72,3.0,-0.20,2.80,255238226
G3V,1.0,1.15e+00,1.15e+00,5670,0.72,4.8,-0.20,4.60,255243236
G3VI,0.8,3.48e-01,6.30e-01,5670,0.72,6.1,-0.20,5.90,255243236
G4Ia0,12.0,8.13e+05,1.42e+03,4669,1.03,-9.4,-0.62,-10.02,255231193
G4Ia,7.5,1.70e+05,6.49e+02,4669,1.03,-7.7,-0.62,-8.32,255231193
G4Ib,3.0,9.77e+03,1.56e+02,4669,1.03,-4.6,-0.62,-5.22,255231193
G4II,2.5,1.29e+03,5.65e+01,4669,1.03,-2.4,-0.62,-3.02,255237209
G4III,2.0,8.91e+01,1.49e+01,4669,1.03,0.5,-0.62,-0.12,255243233
G4IV,1.5,6.20e+00,2.76e+00,5560,0.75,3.0,-0.23,2.77,255245238
G4V,0.9,9.82e-01,1.10e+00,5560,0.75,5.0,-0.23,4.77,255241229
G4VI,0.8,2.97e-01,6.05e-01,5560,0.75,6.3,-0.23,6.07,255241229
G5Ia0,12.5,1.07e+06,1.84e+03,4400,1.13,-9.5,-0.83,-10.33,255230183
G5Ia,7.8,1.86e+05,7.66e+02,4400,1.13,-7.6,-0.83,-8.43,255230183
G5Ib,3.2,1.18e+04,1.92e+02,4400,1.13,-4.6,-0.83,-5.43,255230183
G5II,2.6,1.55e+03,6.99e+01,4400,1.13,-2.4,-0.83,-3.23,255235203
G5III,2.0,1.18e+02,1.92e+01,4400,1.13,0.4,-0.83,-0.43,255236211
G5IV,1.5,6.38e+00,2.92e+00,5450,0.79,3.0,-0.26,2.74,255235213
G5V,0.9,8.41e-01,1.06e+00,5450,0.79,5.2,-0.26,4.94,255244234
G5VI,0.8,2.54e-01,5.83e-01,5450,0.79,6.5,-0.26,6.24,255244234
G6Ia0,12.5,1.12e+06,1.93e+03,4343,1.15,-9.5,-0.88,-10.38,255227178
G6Ia,7.9,1.95e+05,8.04e+02,4343,1.15,-7.6,-0.88,-8.48,255227178
G6Ib,3.3,1.23e+04,2.02e+02,4343,1.15,-4.6,-0.88,-5.48,255227178
G6II,2.7,1.62e+03,7.33e+01,4343,1.15,-2.4,-0.88,-3.28,255233198
G6III,2.1,1.23e+02,2.02e+01,4343,1.15,0.4,-0.88,-0.48,255236215
G6IV,1.5,6.59e+00,3.09e+00,5340,0.82,3.0,-0.30,2.70,255242234
G6V,0.9,7.92e-01,1.07e+00,5340,0.82,5.3,-0.30,5.00,255244235
G6VI,0.8,2.18e-01,5.62e-01,5340,0.82,6.7,-0.30,6.40,255244235
G7Ia0,12.5,1.18e+06,2.03e+03,4286,1.17,-9.5,-0.93,-10.43,255223172
G7Ia,8.0,2.05e+05,8.46e+02,4286,1.17,-7.6,-0.93,-8.53,255223172
G7Ib,3.5,1.29e+04,2.12e+02,4286,1.17,-4.6,-0.93,-5.53,255223172
G7II,2.8,1.70e+03,7.71e+01,4286,1.17,-2.4,-0.93,-3.33,255231194
G7III,2.2,1.29e+02,2.12e+01,4286,1.17,0.4,-0.93,-0.53,255234207
G7IV,1.5,6.84e+00,3.28e+00,5230,0.85,3.0,-0.34,2.66,255231205
G7V,0.9,6.84e-01,1.04e+00,5230,0.85,5.5,-0.34,5.16,255244235
G7VI,0.7,2.06e-01,5.70e-01,5230,0.85,6.8,-0.34,6.46,255244235
G8Ia0,12.5,1.13e+06,2.04e+03,4229,1.19,-9.4,-0.98,-10.38,255220167
G8Ia,8.1,1.96e+05,8.51e+02,4229,1.19,-7.5,-0.98,-8.48,255220167
G8Ib,3.6,1.49e+04,2.34e+02,4229,1.19,-4.7,-0.98,-5.68,255220167
G8II,2.9,1.96e+03,8.51e+01,4229,1.19,-2.5,-0.98,-3.48,255229189
G8III,2.2,1.24e+02,2.14e+01,4229,1.19,0.5,-0.98,-0.48,255231199
G8IV,1.5,6.50e+00,3.34e+00,5120,0.89,3.1,-0.38,2.72,255233211
G8V,0.8,6.50e-01,1.06e+00,5120,0.89,5.6,-0.38,5.22,255237222
G8VI,0.7,1.79e-01,5.54e-01,5120,0.89,7.0,-0.38,6.62,255237222
G9Ia0,12.5,1.19e+06,2.16e+03,4171,1.21,-9.4,-1.04,-10.44,255221174
G9Ia,8.1,2.07e+05,8.98e+02,4171,1.21,-7.5,-1.04,-8.54,255221174
G9Ib,3.8,1.57e+04,2.47e+02,4171,1.21,-4.7,-1.04,-5.74,255221174
G9II,3.0,2.07e+03,8.98e+01,4171,1.21,-2.5,-1.04,-3.54,255227184
G9III,2.3,1.31e+02,2.26e+01,4171,1.21,0.5,-1.04,-0.54,255231196
G9IV,1.6,6.80e+00,3.57e+00,5010,0.92,3.1,-0.43,2.67,255229200
G9V,0.8,5.66e-01,1.03e+00,5010,0.92,5.8,-0.43,5.37,255239221
G9VI,0.7,1.71e-01,5.66e-01,5010,0.92,7.1,-0.43,6.67,255239221
K0Ia0,12.5,1.26e+06,2.28e+03,4114,1.24,-9.4,-1.10,-10.50,255221181
K0Ia,8.2,2.19e+05,9.50e+02,4114,1.24,-7.5,-1.10,-8.60,255221181
K0Ib,3.9,1.66e+04,2.62e+02,4114,1.24,-4.7,-1.10,-5.80,255221181
K0II,3.1,2.19e+03,9.50e+01,4114,1.24,-2.5,-1.10,-3.60,255226180
K0III,2.3,1.38e+02,2.39e+01,4114,1.24,0.5,-1.10,-0.60,255227190
K0IV,1.6,7.16e+00,3.83e+00,4900,0.96,3.1,-0.49,2.61,255225189
K0V,0.8,5.43e-01,1.05e+00,4900,0.96,5.9,-0.49,5.41,255238221
K0VI,0.7,1.50e-01,5.53e-01,4900,0.96,7.3,-0.49,6.81,255238221
K1Ia0,12.5,1.22e+06,2.30e+03,4057,1.26,-9.3,-1.17,-10.47,255220177
K1Ia,8.3,2.12e+05,9.60e+02,4057,1.26,-7.4,-1.17,-8.57,255220177
K1Ib,4.1,1.76e+04,2.77e+02,4057,1.26,-4.7,-1.17,-5.87,255220177
K1II,3.3,2.32e+03,1.01e+02,4057,1.26,-2.5,-1.17,-3.67,255224175
K1III,2.4,1.61e+02,2.64e+01,4057,1.26,0.4,-1.17,-0.77,255223181
K1IV,1.6,7.71e+00,4.21e+00,4760,1.00,3.1,-0.57,2.53,255216171
K1V,0.8,4.43e-01,1.01e+00,4760,1.00,6.2,-0.57,5.63,255224188
K1VI,0.6,1.34e-01,5.55e-01,4760,1.00,7.5,-0.57,6.93,255224188
K2Ia0,13.3,1.30e+06,2.44e+03,4000,1.28,-9.3,-1.23,-10.53,255211135
K2Ia,8.8,2.25e+05,1.02e+03,4000,1.28,-7.4,-1.23,-8.63,255211135
K2Ib,4.3,2.06e+04,3.08e+02,4000,1.28,-4.8,-1.23,-6.03,255211135
K2II,3.4,2.47e+03,1.07e+02,4000,1.28,-2.5,-1.23,-3.73,255222170
K2III,2.5,2.06e+02,3.08e+01,4000,1.28,0.2,-1.23,-1.03,255221175
K2IV,1.6,8.38e+00,4.66e+00,4620,1.05,3.1,-0.66,2.44,255229202
K2V,0.7,4.01e-01,1.02e+00,4620,1.05,6.4,-0.66,5.74,255227196
K2VI,0.6,1.21e-01,5.60e-01,4620,1.05,7.7,-0.66,7.04,255227196
K3Ia0,14.2,1.46e+06,2.72e+03,3900,1.32,-9.3,-1.36,-10.66,255204128
K3Ia,9.4,2.53e+05,1.14e+03,3900,1.32,-7.4,-1.36,-8.76,255204128
K3Ib,4.6,2.53e+04,3.59e+02,3900,1.32,-4.9,-1.36,-6.26,255204128
K3II,3.6,2.77e+03,1.19e+02,3900,1.32,-2.5,-1.36,-3.86,255220166
K3III,2.6,2.53e+02,3.59e+01,3900,1.32,0.1,-1.36,-1.26,255216167
K3IV,1.7,9.22e+00,5.19e+00,4480,1.10,3.1,-0.76,2.34,255219167
K3V,0.7,3.35e-01,9.90e-01,4480,1.10,6.7,-0.76,5.94,255222195
K3VI,0.6,1.01e-01,5.44e-01,4480,1.10,8.0,-0.76,7.24,255222195
K4Ia0,15.0,1.65e+06,3.06e+03,3800,1.36,-9.3,-1.50,-10.80,255201118
K4Ia,9.9,2.62e+05,1.22e+03,3800,1.36,-7.3,-1.50,-8.80,255201118
K4Ib,4.8,3.15e+04,4.22e+02,3800,1.36,-5.0,-1.50,-6.50,255201118
K4II,3.8,3.15e+03,1.33e+02,3800,1.36,-2.5,-1.50,-4.00,255218161
K4III,2.7,3.45e+02,4.42e+01,3800,1.36,-0.1,-1.50,-1.60,255211146
K4IV,1.7,1.03e+01,5.84e+00,4340,1.15,3.1,-0.88,2.22,255218166
K4V,0.7,3.10e-01,1.02e+00,4340,1.15,6.9,-0.88,6.02,255216181
K4VI,0.5,9.36e-02,5.58e-01,4340,1.15,8.2,-0.88,7.32,255216181
